datasheet_id|keyword|model|is_faction_keyword|
000000101|Ashen Wardens||true|
000000101|Infantry||false|
000000101|Character||false|
000000101|Warden Captain||false|
000000102|Ashen Wardens||true|
000000102|Infantry||false|
000000102|Battleline||false|
000000102|Warden Squad||false|
000000103|Ashen Wardens||true|
000000103|Vehicle||false|
000000103|Walker||false|
000000103|Ashen Crusher||false|
000000104|Verdant Swarm||true|
000000104|Infantry||false|
000000104|Swarm||false|
000000104|Battleline||false|
000000104|Thornlings||false|
000000105|Verdant Swarm||true|
000000105|Monster||false|
000000105|Spine Drake||false|
000000106|Verdant Swarm||true|
000000106|Infantry||false|
000000106|Character||false|
000000106|Psyker||false|
000000106|Swarm Seer||false|
